DIAGNOSISCODE,DIAGNOSISCODEDESCRIPTION,UNSTRIPPEDDIAGNOSISCODE,PARENTDIAGNOSISCODE
Z8679,Personal history of other diseases of the circulatory system,Z86.79,Z867
S90821A,"Blister (nonthermal), right foot, initial encounter",S90.821A,S90821
W19XXXD,"Unspecified fall, subsequent encounter",W19.XXXD,W19
J8403,Idiopathic pulmonary hemosiderosis,J84.03,J840
K229,"Disease of esophagus, unspecified",K22.9,K22
J189,"Pneumonia, unspecified organism",J18.9,J18
Q6102,Congenital multiple renal cysts,Q61.02,Q610
S22080A,"Wedge compression fracture of T11-T12 vertebra, init",S22.080A,S22080
S51002A,"Unspecified open wound of left elbow, initial encounter",S51.002A,S51002
Z7409,Other reduced mobility,Z74.09,Z740
J449,"Chronic obstructive pulmonary disease, unspecified",J44.9,J44
D473,Essential (hemorrhagic) thrombocythemia,D47.3,D47
B001,Herpesviral vesicular dermatitis,B00.1,B00
R490,Dysphonia,R49.0,R49
H1011,"Acute atopic conjunctivitis, right eye",H10.11,H101
I69351,Hemiplga following cerebral infrc aff right dominant side,I69.351,I6935
G6181,Chronic inflammatory demyelinating polyneuritis,G61.81,G618
R229,"Localized swelling, mass and lump, unspecified",R22.9,R22
M12569,"Traumatic arthropathy, unspecified knee",M12.569,M1256
L89893,"Pressure ulcer of other site, stage 3",L89.893,L8989
M79674,Pain in right toe(s),M79.674,M7967
N362,Urethral caruncle,N36.2,N36
H60509,"Unsp acute noninfective otitis externa, unspecified ear",H60.509,H6050
L97919,Non-prs chronic ulc unsp prt of r low leg w unsp severity,L97.919,L9791
B9689,Oth bacterial agents as the cause of diseases classd elswhr,B96.89,B968
F900,"Attn-defct hyperactivity disorder, predom inattentive type",F90.0,F90
M810,Age-related osteoporosis w/o current pathological fracture,M81.0,M81
R891,Abnormal level of hormones in specimens from oth org/tiss,R89.1,R89
J4520,"Mild intermittent asthma, uncomplicated",J45.20,J452
S8291XA,"Unsp fracture of right lower leg, init for clos fx",S82.91XA,S8291
H04123,Dry eye syndrome of bilateral lacrimal glands,H04.123,H0412
F0150,Vascular dementia without behavioral disturbance,F01.50,F015
S81812D,"Laceration without foreign body, left lower leg, subs encntr",S81.812D,S81812
S51801D,"Unspecified open wound of right forearm, subs encntr",S51.801D,S51801
G8929,Other chronic pain,G89.29,G892
T8189XA,"Oth complications of procedures, NEC, init",T81.89XA,T8189
Z23,Encounter for immunization,Z23,
C50011,"Malignant neoplasm of nipple and areola, right female breast",C50.011,C5001
S6292XA,"Unsp fracture of left wrist and hand, init for clos fx",S62.92XA,S6292
E890,Postprocedural hypothyroidism,E89.0,E89
S76012D,"Strain of muscle, fascia and tendon of left hip, subs encntr",S76.012D,S76012
S060X0D,"Concussion without loss of consciousness, subs encntr",S06.0X0D,S060X0
S22000A,"Wedge compression fracture of unsp thoracic vertebra, init",S22.000A,S22000
H15002,"Unspecified scleritis, left eye",H15.002,H1500
T1491XD,"Suicide attempt, subsequent encounter",T14.91XD,T1491
S0003XD,"Contusion of scalp, subsequent encounter",S00.03XD,S0003
M0689,"Other specified rheumatoid arthritis, multiple sites",M06.89,M068
F840,Autistic disorder,F84.0,F84
S93401D,"Sprain of unspecified ligament of right ankle, subs encntr",S93.401D,S93401
G4733,Obstructive sleep apnea (adult) (pediatric),G47.33,G473
C50012,"Malignant neoplasm of nipple and areola, left female breast",C50.012,C5001
G2401,Drug induced subacute dyskinesia,G24.01,G240
I10,Essential (primary) hypertension,I10,
I609,"Nontraumatic subarachnoid hemorrhage, unspecified",I60.9,I60
J09X2,Flu due to ident novel influenza A virus w oth resp manifest,J09.X2,J09X
H1033,"Unspecified acute conjunctivitis, bilateral",H10.33,H103
F458,Other somatoform disorders,F45.8,F45
C8595,"Non-hodg lymphoma, unsp, nodes of ing region and lower limb",C85.95,C859
G6289,Other specified polyneuropathies,G62.89,G628
H548,"Legal blindness, as defined in USA",H54.8,H54
S91301D,"Unspecified open wound, right foot, subsequent encounter",S91.301D,S91301
M13841,"Other specified arthritis, right hand",M13.841,M1384
Z7689,Persons encountering health services in oth circumstances,Z76.89,Z768
D485,Neoplasm of uncertain behavior of skin,D48.5,D48
J3802,"Paralysis of vocal cords and larynx, bilateral",J38.02,J380
K219,Gastro-esophageal reflux disease without esophagitis,K21.9,K21
F4323,Adjustment disorder with mixed anxiety and depressed mood,F43.23,F432
E8342,Hypomagnesemia,E83.42,E834
Z954,Presence of other heart-valve replacement,Z95.4,Z95
J40,"Bronchitis, not specified as acute or chronic",J40,
B348,Other viral infections of unspecified site,B34.8,B34
E039,"Hypothyroidism, unspecified",E03.9,E03
J020,Streptococcal pharyngitis,J02.0,J02
M79645,Pain in left finger(s),M79.645,M7964
R601,Generalized edema,R60.1,R60
G301,Alzheimer's disease with late onset,G30.1,G30
I2584,Coronary atherosclerosis due to calcified coronary lesion,I25.84,I258
R411,Anterograde amnesia,R41.1,R41
H3530,Unspecified macular degeneration,H35.30,H353
N3000,Acute cystitis without hematuria,N30.00,N300
J0111,Acute recurrent frontal sinusitis,J01.11,J011
F801,Expressive language disorder,F80.1,F80
N898,Other specified noninflammatory disorders of vagina,N89.8,N89
J209,"Acute bronchitis, unspecified",J20.9,J20
S72001D,"Fx unsp part of nk of r femr, subs for clos fx w routn heal",S72.001D,S72001
S91201A,"Unsp open wound of right great toe w damage to nail, init",S91.201A,S91201
D6489,Other specified anemias,D64.89,D648
Z8639,"Personal history of endo, nutritional and metabolic disease",Z86.39,Z863
J302,Other seasonal allergic rhinitis,J30.2,J30
Z8551,Personal history of malignant neoplasm of bladder,Z85.51,Z855
R4702,Dysphasia,R47.02,R470
M79662,Pain in left lower leg,M79.662,M7966
E739,"Lactose intolerance, unspecified",E73.9,E73
F1024,Alcohol dependence with alcohol-induced mood disorder,F10.24,F102
E063,Autoimmune thyroiditis,E06.3,E06
L03019,Cellulitis of unspecified finger,L03.019,L0301
S91204A,"Unsp opn wnd right lesser toe(s) w damage to nail, init",S91.204A,S91204
L89212,"Pressure ulcer of right hip, stage 2",L89.212,L8921
L509,"Urticaria, unspecified",L50.9,L50
L209,"Atopic dermatitis, unspecified",L20.9,L20
M546,Pain in thoracic spine,M54.6,M54
M47896,"Other spondylosis, lumbar region",M47.896,M4789
Z0289,Encounter for other administrative examinations,Z02.89,Z028
M797,Fibromyalgia,M79.7,M79
Z48814,Encntr for surg aftcr fol surg on the teeth or oral cavity,Z48.814,Z4881
G3184,"Mild cognitive impairment, so stated",G31.84,G318
S7292XA,"Unsp fracture of left femur, init encntr for closed fracture",S72.92XA,S7292
G3101,Pick's disease,G31.01,G310
S01301D,"Unspecified open wound of right ear, subsequent encounter",S01.301D,S01301
C50912,Malignant neoplasm of unspecified site of left female breast,C50.912,C5091
L249,"Irritant contact dermatitis, unspecified cause",L24.9,L24
L97529,Non-pressure chronic ulcer oth prt left foot w unsp severity,L97.529,L9752
S2020XD,"Contusion of thorax, unspecified, subsequent encounter",S20.20XD,S2020
F419,"Anxiety disorder, unspecified",F41.9,F41
S0100XD,"Unspecified open wound of scalp, subsequent encounter",S01.00XD,S0100
F0280,Dementia in oth diseases classd elswhr w/o behavrl disturb,F02.80,F028
F21,Schizotypal disorder,F21,
E639,"Nutritional deficiency, unspecified",E63.9,E63
I679,"Cerebrovascular disease, unspecified",I67.9,I67
I7090,Unspecified atherosclerosis,I70.90,I709
K900,Celiac disease,K90.0,K90
G3184,"Mild cognitive impairment, so stated",G31.84,G318
E0590,"Thyrotoxicosis, unsp without thyrotoxic crisis or storm",E05.90,E059
H9313,"Tinnitus, bilateral",H93.13,H931
J302,Other seasonal allergic rhinitis,J30.2,J30
G834,Cauda equina syndrome,G83.4,G83
H6503,"Acute serous otitis media, bilateral",H65.03,H650
L299,"Pruritus, unspecified",L29.9,L29
T22251A,"Burn of second degree of right shoulder, initial encounter",T22.251A,T22251
S7292XD,"Unsp fracture of left femur, subs for clos fx w routn heal",S72.92XD,S7292
R1319,Other dysphagia,R13.19,R131
R739,"Hyperglycemia, unspecified",R73.9,R73
H6123,"Impacted cerumen, bilateral",H61.23,H612
F17290,"Nicotine dependence, other tobacco product, uncomplicated",F17.290,F1729
F5101,Primary insomnia,F51.01,F510
S61308A,"Unsp open wound of oth finger w damage to nail, init encntr",S61.308A,S61308
S0101XD,"Laceration without foreign body of scalp, subs encntr",S01.01XD,S0101
J4520,"Mild intermittent asthma, uncomplicated",J45.20,J452
J439,"Emphysema, unspecified",J43.9,J43
Z933,Colostomy status,Z93.3,Z93
D801,Nonfamilial hypogammaglobulinemia,D80.1,D80
M84452A,"Pathological fracture, left femur, init encntr for fracture",M84.452A,M84452
K582,Mixed irritable bowel syndrome,K58.2,K58
C61,Malignant neoplasm of prostate,C61,
I890,"Lymphedema, not elsewhere classified",I89.0,I89
G7000,Myasthenia gravis without (acute) exacerbation,G70.00,G700
J0190,"Acute sinusitis, unspecified",J01.90,J019
J189,"Pneumonia, unspecified organism",J18.9,J18
N138,Other obstructive and reflux uropathy,N13.8,N13
H6093,"Unspecified otitis externa, bilateral",H60.93,H609
J09X2,Flu due to ident novel influenza A virus w oth resp manifest,J09.X2,J09X
Z853,Personal history of malignant neoplasm of breast,Z85.3,Z85
K0510,"Chronic gingivitis, plaque induced",K05.10,K051
E109,Type 1 diabetes mellitus without complications,E10.9,E10
M109,"Gout, unspecified",M10.9,M10
R269,Unspecified abnormalities of gait and mobility,R26.9,R26
N185,"Chronic kidney disease, stage 5",N18.5,N18
M6281,Muscle weakness (generalized),M62.81,M628
K529,"Noninfective gastroenteritis and colitis, unspecified",K52.9,K52
E6601,Morbid (severe) obesity due to excess calories,E66.01,E660
R448,Oth symptoms and signs w general sensations and perceptions,R44.8,R44
H1030,"Unspecified acute conjunctivitis, unspecified eye",H10.30,H103
F17200,"Nicotine dependence, unspecified, uncomplicated",F17.200,F1720
D49511,Neoplasm of unspecified behavior of right kidney,D49.511,D4951
I255,Ischemic cardiomyopathy,I25.5,I25
B028,Zoster with other complications,B02.8,B02
C50912,Malignant neoplasm of unspecified site of left female breast,C50.912,C5091
H539,Unspecified visual disturbance,H53.9,H53
D519,"Vitamin B12 deficiency anemia, unspecified",D51.9,D51
R142,Eructation,R14.2,R14
L03116,Cellulitis of left lower limb,L03.116,L0311
S91201D,"Unsp open wound of right great toe w damage to nail, subs",S91.201D,S91201
L282,Other prurigo,L28.2,L28
N189,"Chronic kidney disease, unspecified",N18.9,N18
J22,Unspecified acute lower respiratory infection,J22,
H40059,"Ocular hypertension, unspecified eye",H40.059,H4005
M8580,"Oth disrd of bone density and structure, unspecified site",M85.80,M858
S93402A,"Sprain of unspecified ligament of left ankle, init encntr",S93.402A,S93402
J45909,"Unspecified asthma, uncomplicated",J45.909,J4590
T5191XD,"Toxic effect of unsp alcohol, accidental, subs",T51.91XD,T5191
M87051,Idiopathic aseptic necrosis of right femur,M87.051,M8705
D649,"Anemia, unspecified",D64.9,D64
Z1231,Encntr screen mammogram for malignant neoplasm of breast,Z12.31,Z123
Z86718,Personal history of other venous thrombosis and embolism,Z86.718,Z8671
T148XXD,"Other injury of unspecified body region, subs",T14.8XXD,T148
B370,Candidal stomatitis,B37.0,B37
F09,Unsp mental disorder due to known physiological condition,F09,
M25559,Pain in unspecified hip,M25.559,M2555
D509,"Iron deficiency anemia, unspecified",D50.9,D50
C9000,Multiple myeloma not having achieved remission,C90.00,C900
Z1211,Encounter for screening for malignant neoplasm of colon,Z12.11,Z121
G479,"Sleep disorder, unspecified",G47.9,G47
K644,Residual hemorrhoidal skin tags,K64.4,K64
H6122,"Impacted cerumen, left ear",H61.22,H612
F411,Generalized anxiety disorder,F41.1,F41
D171,"Benign lipomatous neoplasm of skin, subcu of trunk",D17.1,D17
K580,Irritable bowel syndrome with diarrhea,K58.0,K58
I479,"Paroxysmal tachycardia, unspecified",I47.9,I47
R5381,Other malaise,R53.81,R538
R0781,Pleurodynia,R07.81,R078
J0111,Acute recurrent frontal sinusitis,J01.11,J011
J9690,"Respiratory failure, unsp, unsp w hypoxia or hypercapnia",J96.90,J969
T283XXD,"Burn of internal genitourinary organs, subsequent encounter",T28.3XXD,T283
S71001D,"Unspecified open wound, right hip, subsequent encounter",S71.001D,S71001
R198,Oth symptoms and signs involving the dgstv sys and abdomen,R19.8,R19
M5431,"Sciatica, right side",M54.31,M543
S61511D,"Laceration without foreign body of right wrist, subs encntr",S61.511D,S61511
Z432,Encounter for attention to ileostomy,Z43.2,Z43
R9431,Abnormal electrocardiogram [ECG] [EKG],R94.31,R943
S2232XD,"Fracture of one rib, left side, subs for fx w routn heal",S22.32XD,S2232
N393,Stress incontinence (female) (male),N39.3,N39
M25552,Pain in left hip,M25.552,M2555
E1151,Type 2 diabetes w diabetic peripheral angiopath w/o gangrene,E11.51,E115
Q851,Tuberous sclerosis,Q85.1,Q85
S42302D,"Unsp fx shaft of humerus, left arm, subs for fx w routn heal",S42.302D,S42302
L02212,"Cutaneous abscess of back [any part, except buttock]",L02.212,L0221
J4520,"Mild intermittent asthma, uncomplicated",J45.20,J452
Z0000,Encntr for general adult medical exam w/o abnormal findings,Z00.00,Z000
I110,Hypertensive heart disease with heart failure,I11.0,I11
R300,Dysuria,R30.0,R30
S61401D,"Unspecified open wound of right hand, subsequent encounter",S61.401D,S61401
G901,Familial dysautonomia [Riley-Day],G90.1,G90
S0083XA,"Contusion of other part of head, initial encounter",S00.83XA,S0083
I69051,Hemiplga fol ntrm subarach hemor aff right dominant side,I69.051,I6905
E860,Dehydration,E86.0,E86
T7840XD,"Allergy, unspecified, subsequent encounter",T78.40XD,T7840
H15009,"Unspecified scleritis, unspecified eye",H15.009,H1500
R627,Adult failure to thrive,R62.7,R62
R040,Epistaxis,R04.0,R04
M25569,Pain in unspecified knee,M25.569,M2556
M6530,"Trigger finger, unspecified finger",M65.30,M653
R61,Generalized hyperhidrosis,R61,
J339,"Nasal polyp, unspecified",J33.9,J33
G309,"Alzheimer's disease, unspecified",G30.9,G30
S32592D,"Oth fracture of left pubis, subs for fx w routn heal",S32.592D,S32592
Z8711,Personal history of peptic ulcer disease,Z87.11,Z871
R4181,Age-related cognitive decline,R41.81,R418
Z1389,Encounter for screening for other disorder,Z13.89,Z138
M1611,"Unilateral primary osteoarthritis, right hip",M16.11,M161
C3412,"Malignant neoplasm of upper lobe, left bronchus or lung",C34.12,C341
R7303,Prediabetes,R73.03,R730
Z9229,Personal history of other drug therapy,Z92.29,Z922
M62830,Muscle spasm of back,M62.830,M6283
L989,"Disorder of the skin and subcutaneous tissue, unspecified",L98.9,L98
D538,Other specified nutritional anemias,D53.8,D53
S31801A,"Laceration without foreign body of unsp buttock, init encntr",S31.801A,S31801
M069,"Rheumatoid arthritis, unspecified",M06.9,M06
J111,Flu due to unidentified influenza virus w oth resp manifest,J11.1,J11
J9600,"Acute respiratory failure, unsp w hypoxia or hypercapnia",J96.00,J960
J0111,Acute recurrent frontal sinusitis,J01.11,J011
M179,"Osteoarthritis of knee, unspecified",M17.9,M17
L600,Ingrowing nail,L60.0,L60
Z86711,Personal history of pulmonary embolism,Z86.711,Z8671
J0190,"Acute sinusitis, unspecified",J01.90,J019
J9601,Acute respiratory failure with hypoxia,J96.01,J960
R188,Other ascites,R18.8,R18
J8403,Idiopathic pulmonary hemosiderosis,J84.03,J840
S0100XA,"Unspecified open wound of scalp, initial encounter",S01.00XA,S0100
M25522,Pain in left elbow,M25.522,M2552
D532,Scorbutic anemia,D53.2,D53
R451,Restlessness and agitation,R45.1,R45
C4499,"Other specified malignant neoplasm of skin, unspecified",C44.99,C449
I6350,Cereb infrc due to unsp occls or stenos of unsp cereb artery,I63.50,I635
S6990XA,"Unsp injury of unsp wrist, hand and finger(s), init encntr",S69.90XA,S6990
L819,"Disorder of pigmentation, unspecified",L81.9,L81
C3492,Malignant neoplasm of unsp part of left bronchus or lung,C34.92,C349
E569,"Vitamin deficiency, unspecified",E56.9,E56
R270,"Ataxia, unspecified",R27.0,R27
H547,Unspecified visual loss,H54.7,H54
F4489,Other dissociative and conversion disorders,F44.89,F448
L259,"Unspecified contact dermatitis, unspecified cause",L25.9,L25
E7220,"Disorder of urea cycle metabolism, unspecified",E72.20,E722
Z954,Presence of other heart-valve replacement,Z95.4,Z95
C439,"Malignant melanoma of skin, unspecified",C43.9,C43
Z859,"Personal history of malignant neoplasm, unspecified",Z85.9,Z85
E02,Subclinical iodine-deficiency hypothyroidism,E02,
C3490,Malignant neoplasm of unsp part of unsp bronchus or lung,C34.90,C349
F1020,"Alcohol dependence, uncomplicated",F10.20,F102
E8889,Other specified metabolic disorders,E88.89,E888
Z960,Presence of urogenital implants,Z96.0,Z96
I69919,Unsp symp and signs w cogn fnctns fol unsp cerebvasc disease,I69.919,I6991
G8191,"Hemiplegia, unspecified affecting right dominant side",G81.91,G819
J0111,Acute recurrent frontal sinusitis,J01.11,J011
T50901A,"Poisoning by unsp drug/meds/biol subst, accidental, init",T50.901A,T50901
R079,"Chest pain, unspecified",R07.9,R07
M25471,"Effusion, right ankle",M25.471,M2547
W19XXXD,"Unspecified fall, subsequent encounter",W19.XXXD,W19
F333,"Major depressv disorder, recurrent, severe w psych symptoms",F33.3,F33
F29,Unsp psychosis not due to a substance or known physiol cond,F29,
R262,"Difficulty in walking, not elsewhere classified",R26.2,R26
S71101A,"Unspecified open wound, right thigh, initial encounter",S71.101A,S71101
T50901A,"Poisoning by unsp drug/meds/biol subst, accidental, init",T50.901A,T50901
S5001XA,"Contusion of right elbow, initial encounter",S50.01XA,S5001
Z9981,Dependence on supplemental oxygen,Z99.81,Z998
I69959,Hemiplga following unsp cerebvasc disease aff unsp side,I69.959,I6995
F1024,Alcohol dependence with alcohol-induced mood disorder,F10.24,F102
H269,Unspecified cataract,H26.9,H26
L0390,"Cellulitis, unspecified",L03.90,L039
Z8669,Personal history of dis of the nervous sys and sense organs,Z86.69,Z866
L89519,"Pressure ulcer of right ankle, unspecified stage",L89.519,L8951
D500,Iron deficiency anemia secondary to blood loss (chronic),D50.0,D50
L719,"Rosacea, unspecified",L71.9,L71
I5042,Chronic combined systolic and diastolic hrt fail,I50.42,I504
I442,"Atrioventricular block, complete",I44.2,I44
I498,Other specified cardiac arrhythmias,I49.8,I49
I493,Ventricular premature depolarization,I49.3,I49
I4891,Unspecified atrial fibrillation,I48.91,I489
I5032,Chronic diastolic (congestive) heart failure,I50.32,I503
F840,Autistic disorder,F84.0,F84
I5022,Chronic systolic (congestive) heart failure,I50.22,I502
I5030,Unspecified diastolic (congestive) heart failure,I50.30,I503
I341,Nonrheumatic mitral (valve) prolapse,I34.1,I34
I4460,Unspecified fascicular block,I44.60,I446
I214,Non-ST elevation (NSTEMI) myocardial infarction,I21.4,I21
I255,Ischemic cardiomyopathy,I25.5,I25
M3500,"Sicca syndrome, unspecified",M35.00,M350
I219,"Acute myocardial infarction, unspecified",I21.9,I21
I480,Paroxysmal atrial fibrillation,I48.0,I48
R002,Palpitations,R00.2,R00
M21969,Unspecified acquired deformity of unspecified lower leg,M21.969,M2196
H8111,"Benign paroxysmal vertigo, right ear",H81.11,H811
K2900,Acute gastritis without bleeding,K29.00,K290
C3412,"Malignant neoplasm of upper lobe, left bronchus or lung",C34.12,C341
T8509XS,"Mech compl of ventricular intracranial shunt, sequela",T85.09XS,T8509
I679,"Cerebrovascular disease, unspecified",I67.9,I67
M79601,Pain in right arm,M79.601,M7960
G894,Chronic pain syndrome,G89.4,G89
D696,"Thrombocytopenia, unspecified",D69.6,D69
S6991XA,"Unsp injury of right wrist, hand and finger(s), init encntr",S69.91XA,S6991
F064,Anxiety disorder due to known physiological condition,F06.4,F06
K117,Disturbances of salivary secretion,K11.7,K11
S42202D,"Unsp fx upper end of l humerus, subs for fx w routn heal",S42.202D,S42202
M79676,Pain in unspecified toe(s),M79.676,M7967
L97909,Non-prs chronic ulc unsp prt of unsp low leg w unsp severity,L97.909,L9790
F0390,Unspecified dementia without behavioral disturbance,F03.90,F039
I2510,Athscl heart disease of native coronary artery w/o ang pctrs,I25.10,I251
Z87820,Personal history of traumatic brain injury,Z87.820,Z8782
G609,"Hereditary and idiopathic neuropathy, unspecified",G60.9,G60
E738,Other lactose intolerance,E73.8,E73
M5430,"Sciatica, unspecified side",M54.30,M543
D751,Secondary polycythemia,D75.1,D75
S4290XD,"Fx unsp shoulder girdle, part unsp, subs for fx w routn heal",S42.90XD,S4290
B353,Tinea pedis,B35.3,B35
F1010,"Alcohol abuse, uncomplicated",F10.10,F101
M792,"Neuralgia and neuritis, unspecified",M79.2,M79
M26609,"Unspecified TMJ joint disorder, unspecified side",M26.609,M2660
D164,Benign neoplasm of bones of skull and face,D16.4,D16
J90,"Pleural effusion, not elsewhere classified",J90,
L97909,Non-prs chronic ulc unsp prt of unsp low leg w unsp severity,L97.909,L9790
J9690,"Respiratory failure, unsp, unsp w hypoxia or hypercapnia",J96.90,J969
L210,Seborrhea capitis,L21.0,L21
R0981,Nasal congestion,R09.81,R098
E0500,Thyrotoxicosis w diffuse goiter w/o thyrotoxic crisis,E05.00,E050
L02212,"Cutaneous abscess of back [any part, except buttock]",L02.212,L0221
Z9189,"Oth personal risk factors, not elsewhere classified",Z91.89,Z918
S82131G,"Disp fx of med condyle of r tibia, 7thG",S82.131G,S82131
K029,"Dental caries, unspecified",K02.9,K02
M542,Cervicalgia,M54.2,M54
R1031,Right lower quadrant pain,R10.31,R103
S21201A,"Unsp opn wnd r bk wl of thorax w/o penet thor cavity, init",S21.201A,S21201
S6992XA,"Unsp injury of left wrist, hand and finger(s), init encntr",S69.92XA,S6992
I129,Hypertensive chronic kidney disease w stg 1-4/unsp chr kdny,I12.9,I12
I1310,"Hyp hrt & chr kdny dis w/o hrt fail, w stg 1-4/unsp chr kdny",I13.10,I131
I130,Hyp hrt & chr kdny dis w hrt fail and stg 1-4/unsp chr kdny,I13.0,I13
J22,Unspecified acute lower respiratory infection,J22,
J939,"Pneumothorax, unspecified",J93.9,J93
J309,"Allergic rhinitis, unspecified",J30.9,J30
E7800,"Pure hypercholesterolemia, unspecified",E78.00,E780
R29898,Oth symptoms and signs involving the musculoskeletal system,R29.898,R2989
W19XXXA,"Unspecified fall, initial encounter",W19.XXXA,W19
C9210,"Chronic myeloid leuk, BCR/ABL-positive, not achieve remis",C92.10,C921
R55,Syncope and collapse,R55,
T8509XS,"Mech compl of ventricular intracranial shunt, sequela",T85.09XS,T8509
Z1389,Encounter for screening for other disorder,Z13.89,Z138
E83119,"Hemochromatosis, unspecified",E83.119,E8311
N139,"Obstructive and reflux uropathy, unspecified",N13.9,N13
E782,Mixed hyperlipidemia,E78.2,E78
F22,Delusional disorders,F22,
F331,"Major depressive disorder, recurrent, moderate",F33.1,F33
J40,"Bronchitis, not specified as acute or chronic",J40,
S91309A,"Unspecified open wound, unspecified foot, initial encounter",S91.309A,S91309
E519,"Thiamine deficiency, unspecified",E51.9,E51
J9811,Atelectasis,J98.11,J981
R1084,Generalized abdominal pain,R10.84,R108
Z7689,Persons encountering health services in oth circumstances,Z76.89,Z768
K121,Other forms of stomatitis,K12.1,K12
S0080XD,"Unsp superficial injury of other part of head, subs encntr",S00.80XD,S0080
G250,Essential tremor,G25.0,G25
J0190,"Acute sinusitis, unspecified",J01.90,J019
E0511,Thyrotxcosis w toxic single thyroid nodule w thyrotxc crisis,E05.11,E051
R1310,"Dysphagia, unspecified",R13.10,R131
C50011,"Malignant neoplasm of nipple and areola, right female breast",C50.011,C5001
C8590,"Non-Hodgkin lymphoma, unspecified, unspecified site",C85.90,C859
R221,"Localized swelling, mass and lump, neck",R22.1,R22
C9200,"Acute myeloblastic leukemia, not having achieved remission",C92.00,C920
S129XXA,"Fracture of neck, unspecified, initial encounter",S12.9XXA,S129
H259,Unspecified age-related cataract,H25.9,H25
L89322,"Pressure ulcer of left buttock, stage 2",L89.322,L8932
H00014,Hordeolum externum left upper eyelid,H00.014,H0001
L718,Other rosacea,L71.8,L71
J329,"Chronic sinusitis, unspecified",J32.9,J32
Z862,Prsnl history of dis of the bld/bld-form org/immun mechnsm,Z86.2,Z86
F5102,Adjustment insomnia,F51.02,F510
S61207D,"Unsp open wound of l little finger w/o damage to nail, subs",S61.207D,S61207
R5383,Other fatigue,R53.83,R538
R441,Visual hallucinations,R44.1,R44
B009,"Herpesviral infection, unspecified",B00.9,B00
R600,Localized edema,R60.0,R60
G500,Trigeminal neuralgia,G50.0,G50
S40211D,"Abrasion of right shoulder, subsequent encounter",S40.211D,S40211
L02519,Cutaneous abscess of unspecified hand,L02.519,L0251
G441,"Vascular headache, not elsewhere classified",G44.1,G44
Z4800,Encounter for change or removal of nonsurg wound dressing,Z48.00,Z480
S0083XD,"Contusion of other part of head, subsequent encounter",S00.83XD,S0083
S61401A,"Unspecified open wound of right hand, initial encounter",S61.401A,S61401
A6920,"Lyme disease, unspecified",A69.20,A692
K5090,"Crohn's disease, unspecified, without complications",K50.90,K509
I6350,Cereb infrc due to unsp occls or stenos of unsp cereb artery,I63.50,I635
R1319,Other dysphagia,R13.19,R131
S129XXD,"Fracture of neck, unspecified, subsequent encounter",S12.9XXD,S129
Z8619,Personal history of other infectious and parasitic diseases,Z86.19,Z861
S82201D,"Unsp fx shaft of right tibia, subs for clos fx w routn heal",S82.201D,S82201
B349,"Viral infection, unspecified",B34.9,B34
S065X0D,"Traum subdr hem w/o loss of consciousness, subs",S06.5X0D,S065X0
M1990,"Unspecified osteoarthritis, unspecified site",M19.90,M199
R7301,Impaired fasting glucose,R73.01,R730
C61,Malignant neoplasm of prostate,C61,
N3941,Urge incontinence,N39.41,N394
I69959,Hemiplga following unsp cerebvasc disease aff unsp side,I69.959,I6995
I498,Other specified cardiac arrhythmias,I49.8,I49
J439,"Emphysema, unspecified",J43.9,J43
L89152,"Pressure ulcer of sacral region, stage 2",L89.152,L8915
J8410,"Pulmonary fibrosis, unspecified",J84.10,J841
E508,Other manifestations of vitamin A deficiency,E50.8,E50
L8991,"Pressure ulcer of unspecified site, stage 1",L89.91,L899
J8410,"Pulmonary fibrosis, unspecified",J84.10,J841
N390,"Urinary tract infection, site not specified",N39.0,N39
M19041,"Primary osteoarthritis, right hand",M19.041,M1904
J069,"Acute upper respiratory infection, unspecified",J06.9,J06
K5909,Other constipation,K59.09,K590
H6503,"Acute serous otitis media, bilateral",H65.03,H650
G43909,"Migraine, unsp, not intractable, without status migrainosus",G43.909,G4390
M21372,"Foot drop, left foot",M21.372,M2137
J339,"Nasal polyp, unspecified",J33.9,J33
R799,"Abnormal finding of blood chemistry, unspecified",R79.9,R79
M79642,Pain in left hand,M79.642,M7964
J40,"Bronchitis, not specified as acute or chronic",J40,
N429,"Disorder of prostate, unspecified",N42.9,N42
H04121,Dry eye syndrome of right lacrimal gland,H04.121,H0412
S81801A,"Unspecified open wound, right lower leg, initial encounter",S81.801A,S81801
M2550,Pain in unspecified joint,M25.50,M255
S72009S,"Fracture of unsp part of neck of unspecified femur, sequela",S72.009S,S72009
M4802,"Spinal stenosis, cervical region",M48.02,M480
J84112,Idiopathic pulmonary fibrosis,J84.112,J8411
F4321,Adjustment disorder with depressed mood,F43.21,F432
M79672,Pain in left foot,M79.672,M7967
L900,Lichen sclerosus et atrophicus,L90.0,L90
D638,Anemia in other chronic diseases classified elsewhere,D63.8,D63
S0181XA,"Laceration w/o foreign body of oth part of head, init encntr",S01.81XA,S0181
R609,"Edema, unspecified",R60.9,R60
N401,Enlarged prostate with lower urinary tract symptoms,N40.1,N40
R701,Abnormal plasma viscosity,R70.1,R70
G2401,Drug induced subacute dyskinesia,G24.01,G240
L89609,"Pressure ulcer of unspecified heel, unspecified stage",L89.609,L8960
B379,"Candidiasis, unspecified",B37.9,B37
J3489,Other specified disorders of nose and nasal sinuses,J34.89,J348
